mentor_id,first_name,last_name,mentor_type,university,field_of_study,degree_level,years_in_country,visa_experience,housing_experience,cultural_adaptation_experience,career_guidance_experience,languages_spoken,availability_hours_per_week,sessions_completed,response_time_hours,graduation_year,mentor_rating
1,Sumaiya,Kim,student,Monash University,Data Science,Bachelor,14,0,0,0,0,"English,French",15,105,46,NULL,4.6
2,Ji-won,Sato,student,UNSW,Mechanical Engineering,Master,8,0,1,0,0,"English,Japnese",12,184,6,NULL,4.0
3,Tanvir,Suzuki,student,University of Western Australia,Mechanical Engineering,Master,10,0,0,0,1,"English,Indonesian",6,172,21,NULL,4.6
4,Nusrat,Ahmed,student,University of Adelaide,Artificial Intelligence,PhD,15,0,1,0,1,"English,Japnese",16,99,24,NULL,4.2
5,Chloé,Sharma,student,UNSW,Business Analytics,Master,8,1,0,1,1,English,1,160,47,NULL,3.7
6,Sofia,Chen,student,University of Queensland,Psychology,Master,5,1,1,0,1,"English,Hindi",10,90,9,NULL,4.1
7,Hamza,Chaudhary,student,Australian National University,Computer Science,Master,14,0,0,1,0,"English,Mandarin",18,26,24,NULL,3.9
8,Mathis,Das,student,University of Adelaide,Artificial Intelligence,PhD,6,1,0,1,0,"English,Hindi",14,87,43,NULL,4.9
9,Sofia,Suzuki,student,University of Sydney,Finance,Bachelor,9,0,1,0,1,"English,Japnese",9,119,39,NULL,4.1
10,Mathis,Nguyen,student,University of Queensland,Artificial Intelligence,Bachelor,11,0,1,0,1,"English,French",7,105,17,NULL,5.0
11,Omar,Siddiqui,student,University of Sydney,Mechanical Engineering,Bachelor,5,0,1,1,1,"English,Mandarin",17,200,44,NULL,4.2
12,Lucas,Wei,student,University of Sydney,Artificial Intelligence,Bachelor,14,0,1,1,0,"English,Indonesian",12,90,43,NULL,3.9
13,Suresh,Olsen,student,University of Melbourne,Mechanical Engineering,Bachelor,11,0,0,1,0,"English,Indonesian",19,137,2,NULL,4.9
14,Arjun,Wong,student,University of Adelaide,Artificial Intelligence,Bachelor,11,0,1,0,0,"English,French",13,143,41,NULL,4.6
15,Ivan,Iyer,student,UNSW,Business Analytics,PhD,6,1,1,1,1,"English,Hindi",2,92,3,NULL,4.8
16,Nusrat,Siddiqui,student,Monash University,Data Science,PhD,3,1,0,1,1,"English,Indonesian",4,163,19,NULL,4.6
17,Suresh,Al-Farsi,student,University of Melbourne,Finance,Master,1,0,1,1,1,"English,Japnese",1,43,42,NULL,4.4
18,Tanvir,Mansoor,student,University of Western Australia,Mechanical Engineering,PhD,3,1,1,1,1,"English,French",19,118,12,NULL,3.8
19,Zane,Hernandez,student,University of Queensland,Data Science,PhD,7,0,1,0,1,"English,Japnese",15,57,41,NULL,3.6
20,Sumaiya,Khan,student,University of Western Australia,Psychology,PhD,9,1,1,0,1,"English,Mandarin",14,164,31,NULL,3.6
21,Hans,Kim,student,University of Western Australia,Business Analytics,Bachelor,7,0,0,1,1,"English,French",5,61,8,NULL,4.8
22,Suresh,Bakare,student,Monash University,Mechanical Engineering,Bachelor,5,0,1,0,0,"English,Mandarin",9,155,3,NULL,4.5
23,Mateo,Müller,student,University of Sydney,Finance,Bachelor,11,0,0,1,0,"English,Spanish",15,86,24,NULL,4.4
24,Julien,Hernandez,student,Monash University,Computer Science,PhD,1,0,1,0,1,"English,Hindi",20,123,37,NULL,4.1
25,Sarvesh,Garcia,student,University of Western Australia,Artificial Intelligence,Bachelor,5,0,0,1,1,"English,French",19,154,16,NULL,4.4
26,Jueqing,Silva,student,Monash University,Computer Science,PhD,13,0,1,1,1,"English,French",14,104,45,NULL,4.8
27,Sumaiya,Iqbal,student,University of Western Australia,Artificial Intelligence,Master,11,0,0,0,0,"English,Mandarin",20,19,9,NULL,4.0
28,Mei,Chaudhary,student,University of Adelaide,Artificial Intelligence,Master,9,0,0,0,0,"English,French",10,196,35,NULL,5.0
29,Aisha,Haddad,student,Monash University,Data Science,PhD,15,0,0,0,1,"English,Spanish",12,113,16,NULL,3.6
30,Zane,Al-Farsi,student,Australian National University,Business Analytics,Bachelor,4,1,1,0,0,"English,Hindi",10,62,29,NULL,3.9
31,Clara,Nguyen,student,Australian National University,Computer Science,Bachelor,14,1,0,1,0,"English,Spanish",19,199,19,NULL,4.9
32,Zane,Mansoor,student,University of Adelaide,Data Science,PhD,10,1,1,0,0,"English,Indonesian",2,134,5,NULL,4.8
33,Omar,Smirnov,student,Monash University,Finance,Bachelor,6,0,0,0,1,"English,Japnese",5,142,35,NULL,5.0
34,Diego,Ahmed,student,University of Sydney,Artificial Intelligence,Bachelor,1,0,1,1,1,"English,Mandarin",1,102,16,NULL,3.9
35,Hiroshi,Garcia,student,UNSW,Data Science,Master,7,0,0,1,0,"English,Mandarin",7,145,40,NULL,4.1
36,Ivan,Garcia,student,University of Adelaide,Data Science,PhD,15,1,1,1,1,"English,Spanish",1,126,1,NULL,4.5
37,Elena,Dubois,student,University of Adelaide,Business Analytics,Master,15,1,0,0,0,"English,Spanish",18,82,14,NULL,4.6
38,Rohan,Chatterjee,student,University of Western Australia,Business Analytics,Bachelor,14,0,0,0,1,"English,Spanish",9,181,4,NULL,4.3
39,Fatima,Chen,student,UNSW,Finance,PhD,8,1,0,1,0,"English,Mandarin",12,147,19,NULL,4.0
40,Lucas,Müller,student,University of Adelaide,Psychology,Bachelor,4,1,1,1,1,"English,Spanish",13,98,42,NULL,3.7
41,Trang,Ahmed,student,University of Melbourne,Data Science,PhD,3,0,1,1,0,"English,Spanish",12,135,12,NULL,4.5
42,Clara,Patil,student,University of Queensland,Data Science,Master,12,0,1,0,0,"English,Japnese",9,131,41,NULL,4.6
43,Priya,Silva,student,University of Queensland,Psychology,PhD,6,0,0,1,1,English,15,39,33,NULL,4.8
44,Sumaiya,Müller,student,Australian National University,Mechanical Engineering,PhD,9,0,1,0,0,"English,Spanish",9,144,31,NULL,4.4
45,Zaid,Hossain,student,University of Sydney,Finance,Master,4,1,0,0,0,"English,French",16,120,40,NULL,4.6
46,Trang,Chen,student,UNSW,Mechanical Engineering,PhD,7,1,0,1,1,"English,Japnese",12,66,13,NULL,4.1
47,Ji-won,Sato,student,University of Adelaide,Business Analytics,Master,6,0,1,1,1,"English,Mandarin",3,60,8,NULL,4.6
48,Ishaan,Al-Farsi,student,Monash University,Artificial Intelligence,Master,13,1,1,0,0,"English,Hindi",18,25,15,NULL,4.8
49,Sofia,Hernandez,student,Australian National University,Finance,Bachelor,1,1,1,0,0,"English,Mandarin",7,88,16,NULL,4.8
50,Sana,Siddiqui,student,Australian National University,Mechanical Engineering,PhD,15,1,1,0,1,"English,French",9,134,8,NULL,4.5
51,Arjun,Tanaka,student,University of Melbourne,Mechanical Engineering,Bachelor,12,0,0,0,0,"English,Japnese",9,131,33,NULL,3.6
52,Saanvi,Garcia,student,University of Western Australia,Data Science,Master,4,1,1,0,0,English,16,8,12,NULL,4.5
53,Hans,Sato,student,Monash University,Business Analytics,PhD,6,1,1,0,0,"English,French",7,124,38,NULL,3.9
54,Yuki,Das,student,University of Western Australia,Business Analytics,PhD,15,0,1,0,1,"English,Spanish",9,29,33,NULL,4.6
55,Zoya,Smirnov,student,University of Sydney,Mechanical Engineering,Bachelor,11,0,1,1,1,English,15,126,22,NULL,3.5
56,Trang,Chaudhary,student,Australian National University,Finance,PhD,7,0,1,0,1,"English,Hindi",19,164,42,NULL,3.9
57,Tanvir,Wong,student,UNSW,Business Analytics,Bachelor,2,1,1,1,0,"English,Hindi",4,102,37,NULL,3.6
58,Fatima,Sharma,student,Monash University,Psychology,PhD,1,0,0,1,0,"English,Hindi",9,34,29,NULL,4.6
59,Amira,Sato,student,Monash University,Mechanical Engineering,Master,11,1,1,1,0,"English,Indonesian",11,163,28,NULL,4.7
60,Abrar,Hernandez,student,University of Western Australia,Computer Science,PhD,4,1,0,0,1,"English,Hindi",16,161,20,NULL,3.8
61,Sumaiya,Hernandez,student,Australian National University,Artificial Intelligence,Master,2,0,0,1,1,"English,Mandarin",15,6,18,NULL,3.7
62,Bilal,Rahman,student,UNSW,Finance,Master,8,0,0,1,0,"English,Japnese",1,143,23,NULL,4.7
63,Lucas,Dubois,student,Australian National University,Mechanical Engineering,Bachelor,13,0,1,1,0,"English,Japnese",20,73,39,NULL,4.1
64,Zane,Hernandez,student,Monash University,Mechanical Engineering,Master,12,0,0,1,1,"English,Spanish",7,72,17,NULL,4.5
65,Li,Ahmed,student,Monash University,Business Analytics,Master,5,1,1,0,1,"English,Indonesian",12,170,20,NULL,4.2
66,Clara,Haddad,student,University of Western Australia,Artificial Intelligence,Master,14,0,1,0,1,"English,Hindi",7,200,19,NULL,4.6
67,Julien,Smirnov,student,University of Queensland,Data Science,Master,15,1,0,1,1,"English,Hindi",13,58,30,NULL,4.6
68,Rohan,Bakare,student,Monash University,Mechanical Engineering,PhD,12,1,0,1,1,"English,Indonesian",17,102,46,NULL,4.8
69,Fatima,Dubois,student,Australian National University,Finance,PhD,2,0,1,1,0,"English,French",8,1,30,NULL,3.9
70,Hans,Siddiqui,student,University of Sydney,Business Analytics,Bachelor,5,1,1,1,0,"English,Indonesian",16,43,48,NULL,5.0
71,Hiroshi,Sharma,student,University of Melbourne,Business Analytics,PhD,2,0,1,1,0,"English,Hindi",20,130,45,NULL,4.5
72,Yuki,Khan,student,University of Western Australia,Finance,Master,12,1,1,0,0,"English,Spanish",4,170,28,NULL,3.8
73,Fatima,Sharma,student,UNSW,Mechanical Engineering,Master,13,1,1,1,0,English,14,61,1,NULL,4.2
74,Sumaiya,Chaudhary,student,University of Western Australia,Mechanical Engineering,Master,4,1,1,0,0,"English,Hindi",15,131,47,NULL,4.3
75,Amira,Malik,student,University of Sydney,Finance,Master,8,1,1,1,0,"English,Spanish",18,157,30,NULL,5.0
76,Clara,Khan,student,University of Melbourne,Finance,Bachelor,6,0,1,1,1,"English,Mandarin",19,41,33,NULL,3.9
77,Aisha,Tanaka,student,University of Melbourne,Psychology,Bachelor,5,1,1,0,0,"English,Mandarin",10,143,36,NULL,4.0
78,Mei,Malik,student,University of Western Australia,Business Analytics,Bachelor,4,1,0,1,0,"English,Hindi",17,75,17,NULL,4.1
79,Jueqing,Suzuki,student,University of Melbourne,Computer Science,Master,4,0,1,0,0,"English,Indonesian",1,191,6,NULL,4.2
80,Hans,Rossi,student,University of Adelaide,Mechanical Engineering,Bachelor,12,0,1,1,1,"English,Spanish",5,39,8,NULL,4.7
81,Mathis,Bakare,student,University of Sydney,Psychology,PhD,8,1,0,1,1,"English,Japnese",9,171,24,NULL,4.4
82,Ivan,Park,student,University of Melbourne,Finance,Master,13,1,0,0,1,"English,Japnese",14,139,43,NULL,4.0
83,Rohan,Garcia,student,University of Melbourne,Finance,Bachelor,11,0,1,1,0,English,4,29,44,NULL,4.8
84,Yuki,Chaudhary,student,University of Sydney,Business Analytics,PhD,5,0,1,1,0,"English,Indonesian",7,165,45,NULL,4.7
85,Yuki,Garcia,student,University of Sydney,Mechanical Engineering,PhD,13,1,1,0,1,English,5,58,2,NULL,4.4
86,Ivan,Wei,student,University of Queensland,Business Analytics,Bachelor,11,1,1,0,1,"English,French",6,19,7,NULL,3.7
87,Lucas,Nguyen,student,Monash University,Business Analytics,Bachelor,11,0,1,0,1,"English,French",12,176,6,NULL,4.1
88,Tanvir,Tanaka,student,University of Adelaide,Finance,PhD,10,0,1,0,1,English,11,118,42,NULL,4.4
89,Ivan,Suzuki,student,University of Adelaide,Artificial Intelligence,PhD,8,0,1,1,1,"English,Mandarin",15,198,40,NULL,3.7
90,Ananya,Rossi,student,University of Adelaide,Finance,Bachelor,10,1,1,1,0,"English,Japnese",18,11,7,NULL,3.9
91,Ji-won,Sharma,student,University of Queensland,Business Analytics,Bachelor,11,0,0,1,1,"English,Spanish",6,52,20,NULL,4.8
92,Ji-won,Sharma,student,University of Sydney,Finance,PhD,3,0,0,0,1,"English,Japnese",17,92,2,NULL,4.7
93,Ji-won,Sato,student,Australian National University,Mechanical Engineering,PhD,1,0,0,0,0,English,14,29,17,NULL,4.3
94,Sofia,Dubois,student,University of Melbourne,Data Science,Bachelor,5,0,1,1,0,"English,Hindi",16,139,39,NULL,4.2
95,Hamza,Gomez,student,Australian National University,Computer Science,PhD,9,0,0,0,0,"English,French",13,146,27,NULL,4.9
96,Priya,Rossi,student,University of Melbourne,Mechanical Engineering,PhD,10,1,0,0,0,"English,Mandarin",19,92,29,NULL,4.0
97,Kavya,Bakare,student,University of Adelaide,Psychology,PhD,3,1,1,0,1,"English,Indonesian",13,171,2,NULL,4.8
98,Léa,Tanaka,student,University of Western Australia,Artificial Intelligence,Master,10,0,0,0,1,"English,French",9,7,27,NULL,4.9
99,Hans,Rossi,student,Australian National University,Data Science,Bachelor,6,0,1,0,1,English,17,159,22,NULL,3.6
100,Ananya,Chatterjee,student,University of Melbourne,Data Science,Bachelor,10,0,1,1,0,"English,French",11,31,9,NULL,3.8
101,Sofia,Kim,student,Australian National University,Mechanical Engineering,Bachelor,9,1,0,1,0,"English,Spanish",1,90,10,NULL,4.3
102,Hamza,Mansoor,student,University of Queensland,Data Science,Bachelor,6,1,0,0,0,"English,Mandarin",14,157,43,NULL,4.9
103,Sofia,Tanaka,student,University of Melbourne,Artificial Intelligence,Bachelor,1,0,0,1,0,"English,Indonesian",7,70,4,NULL,4.1
104,Mei,Bakare,student,University of Western Australia,Psychology,PhD,7,0,0,1,1,"English,Mandarin",8,175,30,NULL,3.7
105,Tanvir,Rossi,student,University of Western Australia,Psychology,Master,14,1,1,1,1,"English,Spanish",14,80,41,NULL,3.7
106,Amara,Chen,student,Australian National University,Psychology,PhD,12,1,1,1,0,"English,Japnese",11,20,11,NULL,4.3
107,Kavya,Bakare,student,University of Queensland,Business Analytics,Master,12,1,1,1,0,"English,Japnese",12,66,23,NULL,4.7
108,Ishaan,Haddad,student,Monash University,Artificial Intelligence,Bachelor,1,0,1,0,1,"English,Hindi",17,130,40,NULL,4.5
109,Yuki,Lefebvre,student,University of Western Australia,Artificial Intelligence,Bachelor,8,1,1,1,1,"English,Mandarin",20,117,34,NULL,4.7
110,Sana,Sato,student,University of Melbourne,Computer Science,Master,14,1,1,0,0,"English,Mandarin",18,24,25,NULL,4.3
111,Ishaan,Khan,student,University of Adelaide,Business Analytics,Bachelor,7,0,1,1,1,"English,Japnese",4,78,21,NULL,4.5
112,Abrar,Chaudhary,student,University of Queensland,Computer Science,Master,3,1,0,0,1,"English,Mandarin",19,6,11,NULL,4.2
113,Amara,Al-Farsi,student,Australian National University,Data Science,PhD,4,1,0,0,0,"English,Japnese",14,101,7,NULL,5.0
114,Zaid,Sato,student,University of Melbourne,Finance,Bachelor,12,1,0,1,1,"English,French",16,173,24,NULL,3.7
115,Sana,Bakare,student,University of Sydney,Finance,PhD,7,0,0,0,0,"English,Japnese",10,89,16,NULL,4.7
116,Li,Ahmed,student,University of Melbourne,Business Analytics,Master,6,1,1,0,0,English,3,106,7,NULL,4.9
117,Mei,Hernandez,student,University of Queensland,Business Analytics,Bachelor,6,0,1,1,1,"English,Japnese",17,33,20,NULL,3.8
118,Ishaan,Gomez,student,University of Western Australia,Computer Science,PhD,9,1,1,1,0,"English,Mandarin",16,104,28,NULL,4.1
119,Nusrat,Patil,student,Australian National University,Computer Science,PhD,15,0,0,0,1,"English,Hindi",18,83,45,NULL,4.9
120,Chloé,Al-Farsi,student,Australian National University,Mechanical Engineering,Bachelor,10,1,0,0,1,"English,Mandarin",19,123,46,NULL,4.2
121,Hiroshi,Iqbal,student,Australian National University,Mechanical Engineering,Bachelor,15,1,0,1,1,"English,French",2,37,43,NULL,4.8
122,Omar,Patil,student,Australian National University,Computer Science,Bachelor,13,1,1,0,0,English,2,51,14,NULL,3.9
123,Amira,Kim,student,Australian National University,Computer Science,Master,13,0,1,0,1,"English,Spanish",7,155,35,NULL,4.1
124,Chloé,Das,student,Australian National University,Psychology,Bachelor,6,1,1,1,0,"English,French",9,150,46,NULL,4.6
125,Ananya,Kim,student,University of Adelaide,Computer Science,Master,8,1,0,0,1,"English,Hindi",3,6,25,NULL,4.4
