user_id,first_name,last_name,user_type,home_country,preferred_city_type,target_university,field_of_study,degree_level,intended_start_year,budget_range_aud,scholarship_interest,concern_visa,concern_accommodation,concern_safety,concern_academics,concern_career,concern_culture,preferred_language,accommodation_type,work_while_studying_interest
1,Zane,Das,student,Australia,urban,University of Western Australia,Business Analytics,Bachelor,2026,48498,1,1,0,0,1,1,1,English,dorm,0
2,Nusrat,Bakare,student,Vietnam,suburban,UNSW,Business Analytics,Bachelor,2027,25159,1,1,0,1,0,1,1,English,shared,1
3,Li,Smirnov,parent,Japan,urban,University of Western Australia,Business Analytics,PhD,2027,37270,0,0,1,0,0,1,0,English,dorm,1
4,Ishaan,Smirnov,student,Vietnam,suburban,University of Western Australia,Computer Science,Master,2026,15382,1,0,0,0,0,1,1,Mandarin,shared,1
5,Sarvesh,Sharma,student,Vietnam,urban,University of Melbourne,Artificial Intelligence,Master,2026,58451,1,0,1,1,1,1,0,Spanish,shared,1
6,Sana,Moreau,parent,China,urban,University of Sydney,Finance,PhD,2026,22034,0,0,1,0,1,1,1,Indonesian,shared,0
7,Ishaan,Patil,student,India,suburban,UNSW,Artificial Intelligence,Master,2026,33314,0,1,1,1,0,1,0,English,dorm,0
8,Julien,Garcia,parent,Nigeria,urban,Monash University,Finance,PhD,2026,37844,0,0,1,1,0,0,0,French,private,1
9,Kavya,Nguyen,student,Indonesia,regional,Monash University,Mechanical Engineering,PhD,2026,55675,1,1,1,1,0,1,0,Japnese,dorm,1
10,Nusrat,Siddiqui,student,India,regional,University of Sydney,Finance,Bachelor,2026,52979,0,1,1,1,0,0,1,Spanish,shared,1
11,Ananya,Olsen,student,Brazil,regional,University of Western Australia,Computer Science,Bachelor,2027,29069,0,0,0,1,0,1,0,French,shared,1
12,Ji-won,Smirnov,student,Indonesia,urban,UNSW,Data Science,PhD,2026,25206,1,0,1,0,1,0,1,Indonesian,private,0
13,Diego,Chaudhary,parent,Japan,urban,University of Western Australia,Artificial Intelligence,PhD,2026,39773,1,0,1,1,1,1,0,Spanish,dorm,1
14,Yuki,Rossi,student,Indonesia,suburban,Monash University,Business Analytics,PhD,2026,47295,1,0,1,1,1,1,1,Mandarin,shared,1
15,Sana,Ahmed,student,Indonesia,urban,University of Sydney,Data Science,PhD,2026,25029,0,1,1,1,1,1,1,Indonesian,dorm,1
16,Ivan,Siddiqui,student,Vietnam,suburban,Australian National University,Computer Science,Bachelor,2026,30909,1,0,0,1,1,1,0,Hindi,dorm,1
17,Clara,Lefebvre,student,UAE,suburban,Monash University,Finance,Bachelor,2027,46389,1,0,0,1,1,1,0,Spanish,dorm,0
18,Sana,Chen,student,Vietnam,suburban,Monash University,Psychology,Master,2026,15360,1,0,1,0,0,1,0,Japnese,dorm,0
19,Yuki,Rahman,student,Nigeria,urban,Australian National University,Finance,Master,2026,24950,1,1,1,0,0,0,0,Japnese,private,0
20,Kenji,Olsen,parent,China,urban,Australian National University,Business Analytics,Master,2026,18153,0,0,0,1,1,1,1,French,shared,1
21,Mathis,Chaudhary,student,Brazil,suburban,University of Western Australia,Mechanical Engineering,Master,2027,26981,1,1,0,0,1,1,0,Indonesian,private,0
22,Ishaan,Chaudhary,parent,Brazil,urban,University of Western Australia,Finance,PhD,2026,22104,0,1,0,1,0,1,0,English,dorm,1
23,Mathis,Hossain,student,Brazil,suburban,University of Adelaide,Psychology,PhD,2027,18949,1,0,1,0,0,0,0,Indonesian,private,1
24,Zane,Khan,student,Indonesia,suburban,University of Melbourne,Psychology,Master,2026,35520,0,0,0,1,1,1,1,Spanish,shared,1
